index,disease_name,supplement name,supplement image,buy link
21,Potato___Early_blight,Parin Herbal Fungicides (With Turmeric Extract),https://www.kissanghar.pk/assets/img/product/26162020210725597.jpg,https://www.kissanghar.pk/product-details?name=Antracol%2070%wp%20%20Propineb%2070%%201kg%20Bayer%20Crop%20Science%20&c=191
22,Potato___Late_blight,Syngenta Ridomil gold Fungicide ,https://www.kissanghar.pk/assets/img/product/26162020210725597.jpg,https://www.kissanghar.pk/product-details?name=1kg-Sulphur-80%-Fmc-Sulfer-Fungicides-%D8%B3%D9%84%D9%81%D8%B1&c=434
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://www.kissanghar.pk/assets/img/product/01031720220415885.jpg,https://www.kissanghar.pk/product-details?name=Cobox-Copper-Oxychloride-50%-Wp-1kg-Swat-Agro-Chemicals-Fungicide-Cold-Stress&c=674
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://www.kissanghar.pk/assets/img/product/06121220230112343.jpg,https://www.kissanghar.pk/product-details?name=K-Leaf-2kg-Potassium-52-Sulphur-18-Agro-Limited-(-Jaffer-Agro-Services-)-&c=1045
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://www.kissanghar.pk/assets/img/product/36251720220417536.png,https://www.kissanghar.pk/product-details?name=Mycrobor-Df-1kg-Boron-20percent-Swat-Agro-Chemicals-Crop-Supplement-Foliar-And-Soil-Application-%D8%A8%D9%88%D8%B1%D8%A7%D9%86&c=685
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://www.kissanghar.pk/assets/img/product/01031720220415885.jpg,"https://www.kissanghar.pk/product-details?name=Aminoz%2010%20Wdg%20300gm%20Difenoconazole%20Combagro%20Kanzo%20Evyol%20Group%20Agpharma%20Protects%20Vines%20And%20Fruit%20From%20Powdery%20Mildew%20(pm),%20Black%20Rot%20(br),%20And%20Phomopsis%20Cane%20And%20Leaf%20Spot.&c=890"
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://www.kissanghar.pk/assets/img/product/42122020210128884.webp,https://www.kissanghar.pk/product-details?name=Evito-480sc-100ml-Fungicide-Arysta-Life-Science-Fluoxastrobin&c=1044
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://www.kissanghar.pk/assets/img/product/30561220230226288.jpg,https://www.kissanghar.pk/product-details?name=Clank-Extra-45percent-Wp-100gm-Pyraclostrobin-+-Tebuconazole-Fungicide-Alnoor-Agro-Chemicals&c=832
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://www.kissanghar.pk/assets/img/product/00371320211207380.png,https://www.kissanghar.pk/product-details?name=Cabriotop-60%wdg-Pyraclostrobin-+-Metiram-600gm-Fmc&c=211
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://www.kissanghar.pk/assets/img/product/59231920201008238.jpg,https://www.kissanghar.pk/product-details?name=Nativo-75-Percent-Wg-65gm-Tebuconazole-+-Trifloxystrobin-Fungicide-Bayer-Crop&c=160
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://www.kissanghar.pk/assets/img/product/52191520210408899.jpg,https://www.kissanghar.pk/product-details?name=Acrobat%20Mz%2090/600wp%20Dimethomorph%2090g%20Mancozeb%20250%20Gm%20Fmc&c=338
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),http://www.fmcpakistan.com.pk/assets/_resampled/ScaleHeightWyIyNTAiXQ/Steward-350-ml.jpg,https://www.kissanghar.pk/product-details?name=Pyrazole-45%wp-100gr-Tebuconazole-37%-Pyraclostrobin-8%-Ici&c=344
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://www.kissanghar.pk/assets/img/product/14021220230112377.jpg,https://www.kissanghar.pk/product-details?name=Nativo-75-Percent-Wg-65gm-Tebuconazole-+-Trifloxystrobin-Fungicide-Bayer-Crop&c=160
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://www.kissanghar.pk/assets/img/product/28491320201013314.jpg,https://www.kissanghar.pk/product-details?name=Acrobat%20Mz%2090/600wp%20Dimethomorph%2090g%20Mancozeb%20250%20Gm%20Fmc&c=338
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://www.kissanghar.pk/assets/img/product/12141920221002535.jpg,https://www.kissanghar.pk/product-details?name=1kg-Sulphur-80%-Fmc-Sulfer-Fungicides-%D8%B3%D9%84%D9%81%D8%B1&c=434
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://www.kissanghar.pk/assets/img/product/14021220230112377.jpg,https://www.kissanghar.pk/product-details?name=Mycrobor-Df-1kg-Boron-20percent-Swat-Agro-Chemicals-Crop-Supplement-Foliar-And-Soil-Application-%D8%A8%D9%88%D8%B1%D8%A7%D9%86&c=685
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://www.kissanghar.pk/assets/img/product/48091020220830114.jpg,https://www.kissanghar.pk/product-details?name=Cabriotop-60%wdg-Pyraclostrobin-+-Metiram-600gm-Fmc&c=211
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://www.kissanghar.pk/assets/img/product/45032020211217427.jpg,https://www.kissanghar.pk/product-details?name=Gro-Sure-Npk-Nitrogen-6%-Phosphorus-6%-Potash-43%-Foliar-250gm-Alnoor-Agro-Import-From-Agypt-Micronutrients-Grosure&c=549
